#{"t_start": 1764519954.212054, "env_id": "None"}
r,l,t
-1532.588571,2000,0.358904
-1754.464781,2000,0.65846
-1917.025576,2000,3.002257
-1681.813074,2000,3.263051
-1046.635782,2000,5.409104
-1613.249717,2000,5.670716
-1692.384702,2000,7.836701
-1560.525778,2000,8.117227
-1537.654512,2000,10.435812
-2157.128781,2000,10.727732
-1458.63599,2000,13.043118
-1415.190673,2000,13.330495
-1786.233102,2000,15.68113
-1656.084751,2000,15.952188
-1395.713654,2000,18.197244
-1797.704201,2000,18.460137
-1423.355853,2000,20.589099
-1549.662385,2000,20.84683
-1826.022167,2000,23.001284
-1824.472047,2000,23.265211
-1316.023264,2000,25.765384
-1418.38318,2000,26.026662
-1657.470422,2000,28.170645
-1424.900928,2000,28.430709
-1095.640804,2000,30.535131
-1123.452566,2000,30.797412
-1386.93535,2000,32.896465
-1149.438962,2000,33.155424
-1133.167726,2000,35.252863
-1060.559819,2000,35.554464
-1233.645446,2000,37.710815
-1613.36607,2000,37.970779
-1521.222415,2000,40.06595
-1139.515865,2000,40.326829
-1067.351396,2000,42.429551
-1446.208308,2000,42.706446
-1276.307277,2000,44.840581
-1201.148838,2000,45.101027
-1001.270869,2000,47.199816
-1116.778377,2000,47.459654
-1320.910377,2000,49.540209
-1424.048753,2000,49.799048
-1239.158969,2000,50.056628
-1264.866271,2000,52.137708
-1725.631065,2000,52.394944
-1107.745663,2000,54.502858
-1027.762949,2000,54.76268
-1163.617916,2000,56.846383
-980.700679,2000,57.105757
-866.9474,2000,59.199432
-1090.745116,2000,59.456395
-1147.746427,2000,61.571687
-1118.38691,2000,61.830494
-1069.911541,2000,63.981684
-1102.885439,2000,64.240078
-1082.083276,2000,67.293946
-960.381552,2000,67.552709
-1118.174531,2000,69.644215
-813.390693,2000,69.90475
-930.606975,2000,72.03461
-1239.156873,2000,72.295801
-987.64735,2000,74.411392
-876.25375,2000,74.671162
-855.866941,2000,76.798365
-939.06138,2000,77.060369
-890.953855,2000,79.259041
-896.794454,2000,79.531785
-794.684697,2000,81.893007
-961.705122,2000,82.169391
-910.44225,2000,84.574159
-1030.433624,2000,84.848766
-847.113721,2000,87.243874
-851.394081,2000,87.508113
-848.660214,2000,89.889669
-825.837152,2000,90.166856
-850.960279,2000,92.305858
-747.858875,2000,92.567236
-770.74888,2000,94.691165
-757.322964,2000,94.952172
-719.092608,2000,97.089958
-670.918816,2000,97.351701
-693.73544,2000,99.49253
-727.743448,2000,99.752606
-645.084581,2000,101.874822
-711.258473,2000,102.136205
-776.99358,2000,102.395747
-756.464185,2000,104.524896
-680.0946,2000,104.784766
-672.143945,2000,106.916771
-679.81818,2000,107.176429
-598.222226,2000,109.339512
-652.03614,2000,109.599763
-654.696211,2000,111.731558
-651.502078,2000,111.989377
-689.309657,2000,114.311858
-676.266983,2000,114.588669
-686.17678,2000,117.018317
-515.376718,2000,117.280512
-537.031925,2000,119.421583
-572.249208,2000,119.682396
-504.664035,2000,121.819319
-598.348742,2000,122.078676
-491.076664,2000,124.206774
-577.148881,2000,124.465877
-458.822155,2000,126.643082
-475.031151,2000,126.908073
-477.628463,2000,129.035829
-539.317664,2000,129.298108
-487.372322,2000,131.43359
-431.78118,2000,131.69407
-517.661015,2000,133.851306
-449.146599,2000,134.113978
-409.216268,2000,136.242882
-479.549722,2000,136.503947
-403.805063,2000,138.642532
-430.114837,2000,138.902316
-426.279314,2000,141.037944
-514.926246,2000,141.300764
-470.206668,2000,143.440005
-368.757799,2000,143.699686
-378.237422,2000,145.83962
-534.956292,2000,146.10002
-417.889453,2000,148.232339
-464.4191,2000,148.494304
-369.616257,2000,150.619491
-400.171533,2000,150.882052
-442.781519,2000,153.048078
-408.096465,2000,153.309482
-355.003364,2000,153.569223
-398.4389,2000,155.85511
-341.941661,2000,156.119542
-333.464681,2000,158.263289
-388.257353,2000,158.524913
-391.088503,2000,160.670299
-372.741197,2000,160.929
-359.778531,2000,163.055507
-343.482245,2000,163.315627
-324.214764,2000,165.443897
-307.033108,2000,165.707433
-390.624172,2000,168.000197
-339.437494,2000,168.289772
-329.036859,2000,170.713027
-390.750239,2000,170.994514
-283.455819,2000,173.368362
-279.377915,2000,173.645145
-323.872952,2000,175.978494
-374.053287,2000,176.255987
-353.822637,2000,178.524264
-270.203122,2000,178.783727
-284.00595,2000,180.924838
-334.958653,2000,181.184913
