#{"t_start": 1764534567.910809, "env_id": "None"}
r,l,t
-921.556867,2000,1.090354
-1789.796472,2000,1.363061
-1199.569474,2000,3.715363
-1468.966629,2000,3.979053
-1498.017202,2000,6.350612
-1928.771375,2000,6.747268
-1406.329349,2000,10.561977
-1256.045818,2000,10.948012
-925.428113,2000,13.580798
-1431.32798,2000,13.852892
-1499.35421,2000,16.24004
-876.106002,2000,16.510138
-899.777113,2000,19.794413
-1250.889174,2000,20.197394
-1285.922491,2000,22.645635
-1004.240974,2000,22.905884
-940.153112,2000,25.0453
-1016.442116,2000,25.30398
-776.627712,2000,27.755176
-1034.273644,2000,28.021662
-1269.221512,2000,30.238184
-839.111914,2000,30.50297
-1087.032622,2000,32.682074
-952.465823,2000,32.942963
-1338.938276,2000,35.463267
-861.362438,2000,35.760423
-1158.80247,2000,38.205368
-1050.84158,2000,38.517314
-852.50021,2000,40.753773
-668.135918,2000,41.013509
-899.257725,2000,43.228947
-819.735145,2000,43.489517
-646.6415,2000,45.693405
-989.895771,2000,45.953259
-1008.93504,2000,48.199701
-856.83048,2000,48.59948
-677.395452,2000,51.336347
-788.436431,2000,51.610422
-1020.987315,2000,53.909914
-719.50595,2000,54.192165
-691.128121,2000,57.05244
-586.207232,2000,57.487032
-655.640315,2000,57.811493
-654.975245,2000,60.424928
-859.213862,2000,60.759376
-480.037628,2000,63.046641
-481.405741,2000,63.342649
-684.576799,2000,65.968554
-534.095376,2000,66.259035
-696.657624,2000,68.572662
-513.641871,2000,68.857066
-600.370147,2000,71.49493
-439.897161,2000,71.798335
-459.976818,2000,74.202534
-639.775943,2000,74.510869
-637.472615,2000,76.796833
-561.579221,2000,77.064944
-464.461053,2000,79.334325
-494.537009,2000,79.615019
-596.707583,2000,82.081015
-432.871505,2000,82.343146
-562.342047,2000,84.696962
-613.202923,2000,84.965007
-546.629479,2000,87.426776
-553.815822,2000,87.753745
-555.597325,2000,90.561645
-462.598647,2000,90.851326
-466.076974,2000,93.258965
-517.841734,2000,93.52869
-478.502601,2000,95.748141
-375.811015,2000,96.017867
-464.19867,2000,98.69387
-438.817511,2000,98.980293
-438.529407,2000,101.202989
-431.674474,2000,101.49843
-391.410233,2000,103.713076
-433.844553,2000,103.980872
-387.968936,2000,106.243793
-463.841347,2000,106.652251
-449.856949,2000,109.020055
-365.845405,2000,109.286252
-382.026532,2000,111.555416
-318.329995,2000,111.953059
-361.734376,2000,114.255665
-395.895205,2000,114.544592
-308.050714,2000,114.821129
-353.426211,2000,117.278755
-346.089677,2000,117.550829
-331.458435,2000,119.926142
-448.442282,2000,120.193919
-397.435918,2000,122.70099
-333.438263,2000,123.011284
-355.306134,2000,125.676987
-314.579606,2000,126.247041
-290.331163,2000,128.906567
-335.627489,2000,129.190823
-290.455687,2000,132.516871
-366.131714,2000,132.791725
-308.066471,2000,135.193966
-335.26231,2000,135.464308
-361.788862,2000,137.753263
-353.314583,2000,138.029211
-319.08034,2000,140.417571
-321.858811,2000,140.677291
-323.864856,2000,143.315445
-288.19358,2000,143.576706
-281.436542,2000,145.915547
-327.000845,2000,146.263098
-304.863884,2000,148.855548
-263.473365,2000,149.129848
-302.13836,2000,151.395456
-302.932446,2000,151.666477
-264.720059,2000,154.09835
-315.442656,2000,154.357665
-309.18649,2000,156.580071
-247.136536,2000,156.844801
-341.998972,2000,159.017044
-304.106271,2000,159.390665
-305.154222,2000,162.157317
-271.62874,2000,162.543442
-242.301984,2000,165.784973
-236.297262,2000,166.311213
-262.196512,2000,168.885692
-278.592277,2000,169.30775
-286.805113,2000,172.019627
-219.880433,2000,172.303226
-250.580726,2000,174.539866
-248.76912,2000,174.810611
-213.280184,2000,175.078353
-256.89461,2000,177.289643
-222.19897,2000,177.577072
-248.229751,2000,180.373304
-193.321501,2000,180.742177
-222.584803,2000,182.947706
-274.799196,2000,183.218705
-226.351694,2000,185.467378
-251.146228,2000,185.737851
-205.218187,2000,188.061126
-201.407381,2000,188.358357
-277.447294,2000,190.65215
-225.586764,2000,190.992332
-193.555144,2000,193.237236
-235.900154,2000,193.499035
-250.286405,2000,195.771792
-244.262288,2000,196.035207
-227.229697,2000,198.631349
-206.670244,2000,198.909855
-180.598914,2000,201.094461
-185.896031,2000,201.357556
-231.565513,2000,203.446784
-212.774318,2000,203.706968
