#{"t_start": 1764518111.016385, "env_id": "None"}
r,l,t
-1093.089522,2000,11.336016
-1024.38115,2000,22.688987
-734.743072,2000,34.091471
-1124.386515,2000,45.700973
-763.999972,2000,57.063644
-367.524176,2000,69.150147
-637.372546,2000,80.808591
-519.016937,2000,92.321089
-413.019054,2000,103.910438
-239.117081,2000,116.249351
-300.788561,2000,127.982316
-303.03932,2000,139.497468
-344.222013,2000,150.921186
-184.947671,2000,162.413744
-244.377267,2000,173.968708
-188.721162,2000,185.515167
-186.171021,2000,197.023163
-205.369288,2000,208.576292
-257.283446,2000,220.101839
-218.076378,2000,231.643073
-227.022682,2000,243.214993
-345.321541,2000,254.754613
-217.865591,2000,266.392278
-190.423726,2000,277.957619
-183.423766,2000,289.72116
-340.517822,2000,301.295611
-292.500813,2000,312.762513
-436.683845,2000,324.37736
-341.686136,2000,335.833896
-272.085098,2000,347.578134
-158.029455,2000,359.160409
-212.696043,2000,370.732668
-210.542919,2000,382.807249
-207.822136,2000,394.530018
-281.292485,2000,406.112963
-274.020168,2000,417.741146
-169.2558,2000,429.389061
-376.700345,2000,441.057216
-227.036853,2000,452.760843
-246.04435,2000,464.412192
-157.915419,2000,476.113705
-197.7908,2000,487.807444
-628.664594,2000,499.440416
-583.438401,2000,511.141443
-235.064484,2000,522.863574
-147.316554,2000,534.591734
-169.708104,2000,546.205713
-148.346823,2000,557.985693
-140.934351,2000,569.583212
-239.738685,2000,581.162257
-213.755393,2000,593.078914
-152.007376,2000,604.700627
-239.478865,2000,616.307165
-158.136217,2000,627.968875
-317.144167,2000,639.583235
-160.478839,2000,651.482978
-126.364445,2000,663.263528
-179.157163,2000,674.737185
-141.907628,2000,686.240133
-142.902317,2000,697.724909
-147.433889,2000,709.99659
-424.439732,2000,721.612131
-201.994882,2000,733.172167
-127.411852,2000,744.841148
-195.331326,2000,756.38994
-169.439458,2000,767.989221
-97.696588,2000,779.525845
-200.651774,2000,791.025068
-117.429807,2000,802.554146
-193.859629,2000,814.053752
-179.072551,2000,825.613743
-164.429245,2000,837.144629
-142.204376,2000,848.742732
-114.432806,2000,860.414272
-216.253057,2000,871.895318
-130.733612,2000,883.418766
-102.375529,2000,895.571286
-280.951731,2000,907.022493
-182.13618,2000,918.537444
-159.092178,2000,930.748229
-149.902331,2000,942.212064
-211.347213,2000,953.981236
-141.845848,2000,965.659644
-175.11506,2000,977.138963
-110.2651,2000,988.618384
-165.98925,2000,1000.164819
-128.641562,2000,1011.685024
-98.438587,2000,1023.206722
-122.91375,2000,1034.863198
-138.446291,2000,1046.383004
-122.177844,2000,1057.953064
-133.891723,2000,1069.449541
-85.644437,2000,1080.976807
-161.328318,2000,1092.514357
-164.894836,2000,1104.052152
-167.558159,2000,1115.594471
-170.86614,2000,1127.124208
-208.93742,2000,1138.65712
-211.205479,2000,1150.142417
-150.65763,2000,1161.857042
-103.164132,2000,1173.293937
-176.878205,2000,1184.770525
-184.450233,2000,1196.502938
-132.422459,2000,1208.043615
-97.018961,2000,1219.643468
-190.64605,2000,1231.188298
-108.763794,2000,1242.714041
-140.263965,2000,1254.46753
-186.179621,2000,1265.985673
-130.662407,2000,1277.65166
-178.593021,2000,1289.185825
-146.602126,2000,1300.673841
-154.485279,2000,1312.942263
-101.37929,2000,1324.462555
-177.832836,2000,1335.977194
-94.867078,2000,1348.992866
-129.271721,2000,1360.787722
-164.109854,2000,1373.827977
-122.756842,2000,1386.270859
-89.556918,2000,1399.535593
-118.767374,2000,1411.950399
-76.723631,2000,1423.453746
-117.931449,2000,1435.184386
-166.61557,2000,1446.736909
-157.161606,2000,1458.466382
-219.965394,2000,1469.883135
-111.80385,2000,1481.267949
-134.32509,2000,1492.993838
-102.373536,2000,1504.472889
-110.504176,2000,1515.836886
-93.418967,2000,1527.221788
-181.248589,2000,1538.55504
-126.215811,2000,1549.990143
-163.421365,2000,1561.389686
-141.943159,2000,1572.799768
-210.848301,2000,1584.215433
-105.996379,2000,1595.574706
-93.112781,2000,1607.031943
-190.008661,2000,1618.556725
-100.664925,2000,1629.915127
-124.802765,2000,1641.319747
-90.934722,2000,1652.666452
-125.378408,2000,1663.972096
-89.26733,2000,1675.349859
-223.625878,2000,1686.825862
-89.59589,2000,1698.165058
-90.144077,2000,1709.56824
-151.67886,2000,1721.079401
-182.113893,2000,1732.512421
-101.228964,2000,1743.889843
