#{"t_start": 1764539623.2958431, "env_id": "None"}
r,l,t
-1044.219498,2000,10.007185
-864.07353,2000,20.136524
-954.993052,2000,30.321299
-717.837073,2000,40.495918
-618.658668,2000,50.666991
-539.596829,2000,60.875189
-659.422249,2000,71.051045
-604.69686,2000,81.259669
-720.060703,2000,91.451257
-514.026054,2000,101.632491
-422.231359,2000,111.827746
-482.65458,2000,122.020141
-783.863755,2000,132.546479
-385.877184,2000,142.76675
-336.296805,2000,152.977384
-360.708521,2000,163.174086
-599.961603,2000,173.385132
-561.270533,2000,183.5846
-164.761662,2000,193.815813
-241.212837,2000,204.042516
-268.05864,2000,214.287057
-393.802939,2000,224.476392
-227.28896,2000,234.697109
-314.127311,2000,244.902393
-264.236845,2000,255.103666
-280.970602,2000,265.310384
-534.809422,2000,275.497283
-467.552407,2000,285.728224
-244.197838,2000,295.93645
-327.053205,2000,306.138843
-290.786947,2000,316.344336
-270.225413,2000,326.569053
-248.560741,2000,336.801689
-217.29927,2000,347.083626
-198.33932,2000,357.298054
-151.679587,2000,367.564035
-248.134136,2000,377.791332
-288.403841,2000,388.039162
-260.599615,2000,398.277456
-384.186556,2000,408.502132
-337.698069,2000,418.735664
-270.306855,2000,429.05339
-167.18653,2000,439.301069
-257.609,2000,449.506659
-246.251942,2000,459.715016
-273.301135,2000,469.923542
-214.779761,2000,480.135537
-215.772571,2000,490.371797
-239.908901,2000,500.573209
-200.940913,2000,510.775552
-266.248794,2000,521.038833
-139.236084,2000,531.247503
-128.733436,2000,541.457953
-246.725417,2000,551.662497
-195.794318,2000,561.873734
-152.623116,2000,572.074401
-125.840076,2000,582.284207
-150.964807,2000,592.539994
-217.422716,2000,602.74168
-172.23055,2000,612.940433
-156.589215,2000,623.132034
-136.94959,2000,633.340072
-140.640661,2000,643.530023
-160.757392,2000,653.747643
-216.723991,2000,663.953098
-209.506658,2000,674.21618
-141.266509,2000,684.441586
-286.881524,2000,694.66649
-273.625161,2000,704.882734
-174.178178,2000,715.11784
-174.641242,2000,725.341168
-162.963049,2000,735.620351
-155.868463,2000,745.877681
-159.332933,2000,756.093335
-179.276446,2000,766.369238
-136.021193,2000,776.60623
-127.205662,2000,786.846327
-229.912244,2000,797.078798
-144.256386,2000,807.315515
-182.477854,2000,817.556502
-136.408514,2000,827.881454
-193.59298,2000,838.286124
-125.802178,2000,848.54349
-161.005496,2000,858.768229
-187.396802,2000,868.983858
-107.952234,2000,879.204759
-241.21328,2000,889.431796
-135.976823,2000,899.700718
-102.352741,2000,909.940692
-186.196758,2000,920.157128
-148.035541,2000,930.370857
-134.219687,2000,940.6165
-155.772102,2000,950.872957
-166.495353,2000,961.12194
-227.708838,2000,971.369807
-182.900742,2000,981.649505
-189.152765,2000,991.873513
-188.721267,2000,1002.11119
-192.033353,2000,1012.361241
-219.112573,2000,1022.609978
-144.988718,2000,1032.896326
-249.998753,2000,1043.444647
-115.534038,2000,1053.692499
-112.000589,2000,1063.981635
-209.504171,2000,1074.199405
-241.436769,2000,1084.413127
-112.772945,2000,1094.654101
-159.13085,2000,1104.890684
-136.637494,2000,1115.101868
-175.817956,2000,1125.346323
-216.455696,2000,1135.610173
-171.599245,2000,1145.840839
-228.239635,2000,1156.054709
-157.301386,2000,1166.273959
-98.098976,2000,1176.473543
-178.123078,2000,1186.693373
-108.456803,2000,1196.896277
-115.482972,2000,1207.115372
-212.156128,2000,1217.388332
-127.417576,2000,1227.596292
-130.185952,2000,1237.800538
-117.860466,2000,1248.011422
-110.393911,2000,1258.227881
-112.751012,2000,1268.496308
-119.034416,2000,1278.71559
-95.520924,2000,1288.977801
-136.856911,2000,1299.195087
-151.377793,2000,1309.40738
-109.09414,2000,1319.638304
-138.829743,2000,1329.902651
-150.37253,2000,1340.109818
-127.893753,2000,1350.316216
-83.834679,2000,1360.547933
-119.660866,2000,1370.793625
-80.424078,2000,1381.018395
-100.426201,2000,1391.292505
-202.810147,2000,1401.522672
-85.886135,2000,1411.736117
-115.899164,2000,1421.950387
-87.061295,2000,1432.141887
-80.231558,2000,1442.374668
-173.687774,2000,1452.578253
-88.441059,2000,1462.777748
-140.423488,2000,1472.981922
-91.320852,2000,1483.17102
-89.079166,2000,1493.358079
-109.855278,2000,1503.559838
-62.814626,2000,1513.83372
-150.221514,2000,1524.744853
-138.944271,2000,1535.128417
