#{"t_start": 1764516960.079149, "env_id": "None"}
r,l,t
-868.405407,2000,7.353734
-379.147239,2000,14.571823
-246.611348,2000,22.254979
-364.624038,2000,29.463741
-267.956937,2000,36.86253
-82.512403,2000,44.216078
-227.802134,2000,51.545153
-285.850813,2000,58.783401
-177.658636,2000,66.961933
-131.824288,2000,74.239928
-142.728979,2000,82.111044
-225.186662,2000,90.093156
-174.801057,2000,97.527739
-110.020427,2000,104.93755
-287.02616,2000,112.383299
-222.724896,2000,119.78031
-104.497998,2000,127.293214
-135.013289,2000,134.733594
-135.758178,2000,142.456347
-84.469421,2000,150.377427
-91.338816,2000,157.934343
-254.104746,2000,166.015735
-357.171241,2000,173.668062
-311.418491,2000,180.994139
-448.351584,2000,188.377899
-893.315566,2000,195.736728
-791.106729,2000,203.171911
-1001.363643,2000,210.519173
-375.750061,2000,217.876801
-206.52236,2000,225.2712
-176.629035,2000,232.724798
-212.842442,2000,240.163469
-184.580454,2000,247.484722
-241.270198,2000,254.896072
-291.377949,2000,262.25012
-310.609039,2000,269.62645
-156.967437,2000,277.223817
-167.410907,2000,285.516327
-216.146221,2000,293.049791
-143.603482,2000,300.521823
-89.004672,2000,307.920886
-110.514857,2000,315.365928
-96.644415,2000,322.784986
-121.87532,2000,330.227594
-164.955596,2000,337.658491
-135.820923,2000,345.127097
-158.233016,2000,352.542567
-130.051076,2000,360.072394
-137.274466,2000,367.499937
-183.56331,2000,374.916423
-112.683342,2000,382.554334
-117.641387,2000,390.093093
-255.06692,2000,397.641053
-135.879324,2000,405.159989
-208.178282,2000,412.604552
-195.985621,2000,420.049228
-303.726292,2000,427.628648
-286.18745,2000,435.153759
-365.698709,2000,442.817876
-611.644503,2000,450.303179
-352.162681,2000,458.048242
-542.094189,2000,465.661058
-414.604835,2000,473.03211
-246.773068,2000,480.491693
-185.325891,2000,487.993716
-139.706416,2000,495.418633
-157.189934,2000,503.058048
-156.807747,2000,511.374718
-169.691755,2000,518.888584
-177.337484,2000,526.342948
-170.83356,2000,533.716635
-537.495781,2000,541.356754
-150.352291,2000,549.544409
-253.124437,2000,557.237678
-254.401679,2000,564.752142
-168.822195,2000,572.591483
-210.512916,2000,581.149687
-246.163225,2000,589.498343
-220.264205,2000,596.976236
-209.219845,2000,604.431589
-142.147095,2000,611.862264
-212.870439,2000,619.278113
-157.302248,2000,626.718808
-149.523092,2000,634.130031
-165.325939,2000,641.579866
-137.236462,2000,648.993027
-138.057722,2000,656.432651
-173.969806,2000,664.577585
-130.318673,2000,672.043233
-151.519173,2000,679.674038
-134.21072,2000,687.644476
-118.946408,2000,695.47105
-116.914247,2000,703.168598
-146.547895,2000,710.900915
-113.78404,2000,718.630568
-192.135412,2000,726.374271
-126.024444,2000,734.132015
-97.338419,2000,741.852249
-79.499789,2000,750.195722
-202.458661,2000,759.152469
-140.608754,2000,767.319742
-160.852264,2000,775.106502
-225.070996,2000,782.826004
-146.751696,2000,790.643765
-303.181203,2000,798.371279
-187.98277,2000,806.199436
-248.60291,2000,813.990035
-133.900023,2000,821.751158
-104.395423,2000,829.477258
-154.451791,2000,837.229312
-205.388224,2000,845.255078
-140.401833,2000,853.074297
-114.687712,2000,860.831801
-282.163965,2000,868.502774
-312.002549,2000,876.246338
-295.764125,2000,883.92916
-356.752863,2000,891.615299
-426.231842,2000,899.469573
-509.89691,2000,907.469849
-490.027516,2000,915.149998
-396.115401,2000,922.77358
-133.808614,2000,930.397225
-125.888276,2000,937.973629
-205.67097,2000,946.709712
-198.393476,2000,954.454745
-309.090227,2000,962.680072
-188.148643,2000,970.449708
-196.407859,2000,978.516475
-213.06546,2000,986.055646
-216.602635,2000,993.606195
-235.365429,2000,1001.467994
-184.147983,2000,1010.360575
-162.500556,2000,1018.738476
-181.077964,2000,1026.497732
-180.478216,2000,1034.112852
-114.932876,2000,1041.706886
-134.688092,2000,1050.109153
-138.669252,2000,1057.688846
-130.410936,2000,1065.638148
-155.285374,2000,1073.344452
-177.305823,2000,1081.155692
-147.474347,2000,1088.803411
-201.476864,2000,1096.506133
-141.850873,2000,1104.213697
-111.282853,2000,1111.849383
-121.219704,2000,1119.478155
-154.029962,2000,1127.175954
-171.658664,2000,1134.940846
-139.739433,2000,1143.105148
-187.667819,2000,1150.669147
