#{"t_start": 1764537192.73884, "env_id": "None"}
r,l,t
-790.05322,2000,6.28489
-1838.593788,2000,12.708788
-722.633526,2000,19.009912
-836.116871,2000,25.336268
-675.634154,2000,31.7101
-559.238399,2000,38.047749
-626.646978,2000,44.384164
-319.689155,2000,50.710134
-587.537966,2000,57.055049
-467.73338,2000,63.393894
-1252.727846,2000,69.742043
-1309.524417,2000,76.087685
-1947.580379,2000,82.418687
-1494.204627,2000,88.778481
-1371.101292,2000,95.108701
-1680.192067,2000,101.438842
-845.061932,2000,107.77349
-807.521729,2000,114.120668
-1332.302401,2000,120.47183
-1144.736078,2000,126.819049
-704.667274,2000,133.17024
-776.618411,2000,139.516465
-1276.157698,2000,145.884026
-951.762403,2000,152.355462
-725.655914,2000,158.870055
-642.188823,2000,165.222881
-816.830811,2000,171.520877
-822.265846,2000,177.813593
-1266.014804,2000,184.106528
-837.146429,2000,190.393465
-855.542716,2000,196.684271
-759.422975,2000,202.98864
-756.137438,2000,209.28733
-791.233925,2000,215.588591
-846.926203,2000,221.876732
-821.242349,2000,228.174187
-409.836235,2000,234.514567
-823.110935,2000,240.805274
-695.960547,2000,247.097993
-546.296762,2000,253.393813
-566.71482,2000,259.712386
-632.936115,2000,266.071421
-442.080836,2000,272.393559
-433.082406,2000,278.691924
-551.111828,2000,284.995915
-360.803112,2000,291.303224
-608.313599,2000,297.602596
-777.521973,2000,303.903132
-400.924967,2000,310.205497
-276.870405,2000,316.544305
-296.678073,2000,322.844656
-515.767347,2000,329.156361
-495.747789,2000,335.461205
-254.188618,2000,341.75696
-331.52826,2000,348.052559
-279.967901,2000,354.347523
-241.68826,2000,360.645694
-316.420683,2000,366.944285
-604.40553,2000,373.243738
-334.758945,2000,379.545073
-287.400887,2000,385.889085
-318.950085,2000,392.179384
-245.260293,2000,398.472358
-347.521748,2000,404.765794
-376.321103,2000,411.067528
-351.710635,2000,417.3743
-249.617289,2000,423.676117
-391.199155,2000,429.982955
-375.608309,2000,436.2838
-495.561996,2000,442.583718
-308.660112,2000,448.891469
-386.79314,2000,455.262545
-248.467301,2000,461.584231
-438.015862,2000,467.928886
-372.163714,2000,474.236115
-215.347511,2000,480.545022
-214.226187,2000,486.836519
-199.530516,2000,493.135185
-349.300585,2000,499.440417
-308.476441,2000,505.727176
-330.062361,2000,512.097074
-294.118065,2000,518.402374
-317.399063,2000,524.703462
-222.963629,2000,531.004744
-193.155819,2000,537.308101
-175.528012,2000,543.649006
-183.281335,2000,549.944393
-250.27193,2000,556.248212
-222.882417,2000,562.570601
-218.674674,2000,568.881997
-192.068313,2000,575.188343
-263.255548,2000,581.492875
-174.615427,2000,587.806521
-168.588496,2000,594.110995
-222.854296,2000,600.42142
-211.06506,2000,606.824362
-147.527379,2000,613.167113
-135.153522,2000,619.510106
-202.093708,2000,625.81269
-210.940996,2000,632.170132
-186.120606,2000,638.475276
-198.484502,2000,644.780087
-155.801022,2000,651.096587
-252.26384,2000,657.40394
-246.413435,2000,663.70627
-205.827347,2000,670.008957
-264.024975,2000,676.313412
-196.826371,2000,682.611076
-226.072133,2000,688.916586
-135.380307,2000,695.252545
-171.532938,2000,701.575765
-115.517295,2000,707.883085
-117.226341,2000,714.197705
-94.722638,2000,720.506898
-149.536164,2000,726.819997
-178.340945,2000,733.193489
-129.923053,2000,739.501556
-113.195759,2000,745.811113
-172.309606,2000,752.113597
-155.217368,2000,758.464137
-133.275495,2000,764.801231
-198.645628,2000,771.093899
-159.580556,2000,777.403204
-255.446368,2000,783.698058
-127.105424,2000,789.998837
-168.13758,2000,796.300813
-97.308533,2000,802.589171
-143.341674,2000,808.885369
-208.402215,2000,815.182774
-114.663017,2000,821.47354
-156.957344,2000,827.765121
-138.174861,2000,834.0547
-129.947949,2000,840.394458
-132.181971,2000,846.685677
-184.127038,2000,852.9846
-176.26619,2000,859.274188
-157.040336,2000,865.569313
-122.980365,2000,871.862169
-137.194963,2000,878.149427
-96.860295,2000,884.439971
-165.542068,2000,890.747562
-116.229774,2000,897.09113
-250.906656,2000,903.399912
-132.456658,2000,909.698449
-129.088185,2000,916.02604
-289.985756,2000,922.328023
-219.896179,2000,928.609057
-218.441687,2000,934.899938
-159.013868,2000,941.192676
-76.622648,2000,947.492934
